Product Name_amazon,Price_amazon,Rating_amazon,No. of Ratings_amazon,Discount_amazon,Base Product Name,Simplified Product Name_amazon,Product Name_flipkart,Price_flipkart,Rating_flipkart,No. of Ratings_flipkart,Discount_flipkart,Simplified Product Name_flipkart,Score_amazon,Score_flipkart,Recommended Website
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g deep 6gb ram 128gb storage,"realme 12x 5G (Twilight Purple, 128 GB)",0.0,0.7777777777777786,"52,614 Ratings & 2,548 Reviews",25% off,realme 12x 5g twilight purple,0.7338887916320187,0.8888888888888893,Flipkart
